날짜,외기온도,외기습도
21. 6. 1 오전 12:15,19,53.60
21. 6. 1 오전 12:30,19.10,53.60
21. 6. 1 오전 12:45,19.20,51.30
21. 6. 1 오전 1:00,19.30,51.60
21. 6. 1 오전 1:15,19.40,52.80
21. 6. 1 오전 1:30,19.40,52.20
21. 6. 1 오전 1:45,19.10,54.50
21. 6. 1 오전 2:00,19.30,53.00
21. 6. 1 오전 2:15,19.20,54.70
21. 6. 1 오전 2:30,19.20,54.80
21. 6. 1 오전 2:45,18.60,75.20
21. 6. 1 오전 3:00,18.00,100.00
21. 6. 1 오전 3:15,18.20,96.40
21. 6. 1 오전 3:30,18.50,84.20
21. 6. 1 오전 3:45,18.40,84.10
21. 6. 1 오전 4:00,18.20,84.50
21. 6. 1 오전 4:15,18.00,83.60
21. 6. 1 오전 4:30,17.80,75.80
21. 6. 1 오전 4:45,17.50,80.00
21. 6. 1 오전 5:00,17.30,78.60
21. 6. 1 오전 5:15,17.20,93.70
21. 6. 1 오전 5:30,17.70,78.70
21. 6. 1 오전 5:45,18.00,67.80
21. 6. 1 오전 6:00,17.30,82.30
21. 6. 1 오전 6:15,16.80,81.10
21. 6. 1 오전 6:30,16.60,81.40
21. 6. 1 오전 6:45,16.70,83.20
21. 6. 1 오전 7:00,16.80,81.20
21. 6. 1 오전 7:15,16.70,72.40
21. 6. 1 오전 7:30,16.70,72.80
21. 6. 1 오전 7:45,16.40,71.40
21. 6. 1 오전 8:00,16.50,72.30
21. 6. 1 오전 8:15,16.50,70.50
21. 6. 1 오전 8:30,16.50,69.40
21. 6. 1 오전 8:45,17.20,67.80
21. 6. 1 오전 9:00,18.10,64.80
21. 6. 1 오전 9:15,18.80,61.90
21. 6. 1 오전 9:30,18.60,65.20
21. 6. 1 오전 9:45,18.80,62.80
21. 6. 1 오전 10:00,19.10,64.90
21. 6. 1 오전 10:15,20.30,61.70
21. 6. 1 오전 10:30,,61.20
21. 6. 1 오전 10:45,20.80,61.20
21. 6. 1 오전 11:00,21.00,61.70
21. 6. 1 오전 11:15,21.30,64.40
21. 6. 1 오전 11:30,21.20,64.70
21. 6. 1 오전 11:45,20.70,68.50
21. 6. 1 오후 12:00,20.80,71.40
21. 6. 1 오후 12:15,20.50,73.00
21. 6. 1 오후 12:30,21.00,72.50
21. 6. 1 오후 12:45,21.20,70.10
21. 6. 1 오후 1:00,21.80,66.90
21. 6. 1 오후 1:15,21.70,66.60
21. 6. 1 오후 1:30,21.50,66.60
21. 6. 1 오후 1:45,21.40,65.90
21. 6. 1 오후 2:00,21.60,63.70
21. 6. 1 오후 2:15,21.50,61.30
21. 6. 1 오후 2:30,,57.70
21. 6. 1 오후 2:45,21.50,57.70
21. 6. 1 오후 3:00,21.60,55.80
21. 6. 1 오후 3:15,,53.80
21. 6. 1 오후 3:30,21.90,53.80
21. 6. 1 오후 3:45,21.20,54.30
21. 6. 1 오후 4:00,20.80,57.70
21. 6. 1 오후 4:15,20.50,61.00
21. 6. 1 오후 4:30,20.70,59.50
21. 6. 1 오후 4:45,20.50,58.70
21. 6. 1 오후 5:00,20.60,59.20
21. 6. 1 오후 5:15,20.60,59.50
21. 6. 1 오후 5:30,20.60,60.10
21. 6. 1 오후 5:45,20.80,60.00
21. 6. 1 오후 6:00,21.20,62.20
21. 6. 1 오후 6:15,21.10,58.80
21. 6. 1 오후 6:30,21.00,58.50
21. 6. 1 오후 6:45,21.10,61.40
21. 6. 1 오후 7:00,21.10,63.60
21. 6. 1 오후 7:15,20.90,65.30
21. 6. 1 오후 7:30,20.20,64.40
21. 6. 1 오후 7:45,19.80,67.10
21. 6. 1 오후 8:00,19.90,68.10
21. 6. 1 오후 8:15,20.10,67.10
21. 6. 1 오후 8:30,20.10,66.40
21. 6. 1 오후 8:45,20.30,65.30
21. 6. 1 오후 9:00,20.40,65.60
21. 6. 1 오후 9:15,20.30,66.50
21. 6. 1 오후 9:30,20.30,67.60
21. 6. 1 오후 9:45,20.30,67.80
21. 6. 1 오후 10:00,20.30,67.90
21. 6. 1 오후 10:15,20.20,68.70
21. 6. 1 오후 10:30,20.10,70.30
21. 6. 1 오후 10:45,20.10,71.10
21. 6. 1 오후 11:00,20.10,71.10
21. 6. 1 오후 11:15,20.00,73.60
21. 6. 1 오후 11:30,20.00,74.60
21. 6. 1 오후 11:45,19.80,77.70
21. 6. 2 오전 12:00,19.80,77.70
21. 6. 2 오전 12:15,18.60,100.00
21. 6. 2 오전 12:30,18.40,99.90
21. 6. 2 오전 12:45,18.50,99.90
21. 6. 2 오전 1:00,18.40,99.90
21. 6. 2 오전 1:15,18.40,100.00
21. 6. 2 오전 1:30,18.50,99.90
21. 6. 2 오전 1:45,18.60,99.90
21. 6. 2 오전 2:00,18.60,99.90
21. 6. 2 오전 2:15,18.60,100.00
21. 6. 2 오전 2:30,18.60,100.00
21. 6. 2 오전 2:45,18.60,100.00
21. 6. 2 오전 3:00,18.60,100.00
21. 6. 2 오전 3:15,18.40,100.00
21. 6. 2 오전 3:30,18.30,99.90
21. 6. 2 오전 3:45,18.30,100.00
21. 6. 2 오전 4:00,18.30,99.90
21. 6. 2 오전 4:15,18.30,100.00
21. 6. 2 오전 4:30,18.10,100.00
21. 6. 2 오전 4:45,18.00,100.00
21. 6. 2 오전 5:00,17.90,99.90
21. 6. 2 오전 5:15,17.80,100.00
21. 6. 2 오전 5:30,17.80,100.00
21. 6. 2 오전 5:45,,99.90
21. 6. 2 오전 6:00,17.90,99.90
21. 6. 2 오전 6:15,18.20,99.90
21. 6. 2 오전 6:30,,99.90
21. 6. 2 오전 6:45,18.90,99.90
21. 6. 2 오전 7:00,19.50,100.00
21. 6. 2 오전 7:15,20.20,100.00
21. 6. 2 오전 7:30,20.70,99.90
21. 6. 2 오전 7:45,21.00,99.90
21. 6. 2 오전 8:00,20.30,99.90
21. 6. 2 오전 8:15,20.40,99.90
21. 6. 2 오전 8:30,20.90,99.90
21. 6. 2 오전 8:45,22.10,99.90
21. 6. 2 오전 9:00,22.20,80.80
21. 6. 2 오전 9:15,22.40,85.90
