total_rt,operation,air_temp,T_return(Simul),T_supply(Simul),T_return(Real),T_supply(Real),date
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.0,15.019999999999996,15.029999999999996,16.375,16.875,2021-06-01 00:15:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.1,15.049999999999994,15.059999999999993,16.375,16.875,2021-06-01 00:30:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.2,15.079999999999995,15.089999999999995,16.4125,16.925,2021-06-01 00:45:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.3,15.109999999999996,15.119999999999996,16.4125,16.925,2021-06-01 01:00:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.4,15.139999999999997,15.149999999999997,16.4875,17.0125,2021-06-01 01:15:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.4,15.169999999999998,15.179999999999998,16.4875,17.0125,2021-06-01 01:30:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.1,15.2,15.209999999999999,16.525,17.05,2021-06-01 01:45:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.3,15.23,15.24,16.525,17.05,2021-06-01 02:00:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.2,15.26,15.27,16.6125,17.1375,2021-06-01 02:15:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.2,15.29,15.299999999999999,16.6125,17.1375,2021-06-01 02:30:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.6,15.32,15.33,16.6,17.1375,2021-06-01 02:45:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.0,15.350000000000001,15.360000000000001,16.6,17.1375,2021-06-01 03:00:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.2,15.380000000000003,15.390000000000002,16.6875,17.25,2021-06-01 03:15:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.5,15.410000000000004,15.420000000000003,16.6875,17.25,2021-06-01 03:30:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.4,15.440000000000005,15.450000000000005,16.6875,17.25,2021-06-01 03:45:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.2,15.470000000000006,15.480000000000006,16.6875,17.25,2021-06-01 04:00:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.0,15.500000000000004,15.510000000000003,16.7625,17.3875,2021-06-01 04:15:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",17.8,15.530000000000003,15.540000000000003,16.7625,17.3875,2021-06-01 04:30:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",17.5,15.560000000000004,15.570000000000004,16.775,17.4125,2021-06-01 04:45:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",17.3,15.590000000000005,15.600000000000005,16.775,17.4125,2021-06-01 05:00:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",17.2,15.620000000000006,15.630000000000006,16.9,17.4875,2021-06-01 05:15:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",17.7,15.649999999999993,15.659999999999993,16.9,17.4875,2021-06-01 05:30:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.0,15.679999999999994,15.689999999999994,16.9125,17.5125,2021-06-01 05:45:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",17.3,15.709999999999996,15.719999999999995,16.9375,17.5375,2021-06-01 06:00:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",16.8,15.739999999999997,15.749999999999996,16.975,17.6,2021-06-01 06:15:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",16.6,15.769999999999996,15.779999999999996,16.975,17.6,2021-06-01 06:30:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",16.7,15.799999999999994,15.809999999999993,16.975,17.6,2021-06-01 06:45:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",16.8,15.829999999999995,15.839999999999995,17.0,17.625,2021-06-01 07:00:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",16.7,15.859999999999996,15.869999999999996,17.025,17.675,2021-06-01 07:15:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",16.7,15.889999999999997,15.899999999999997,17.0375,17.675,2021-06-01 07:30:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",16.4,15.919999999999998,15.929999999999998,17.0375,17.675,2021-06-01 07:45:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",16.5,15.95,15.959999999999999,17.0625,17.725,2021-06-01 08:00:00
299.16,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",16.5,15.17933574120603,8.63933574120603,12.65,10.6,2021-06-01 08:15:00
628.16,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",16.5,13.59170403587444,7.051704035874439,13.7,9.3,2021-06-01 08:30:00
628.16,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",17.2,12.001704035874443,7.0,13.7,9.3,2021-06-01 08:45:00
688.95,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.1,11.958831150136751,7.0,12.9,8.65,2021-06-01 09:00:00
688.95,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.8,11.958831150136751,7.0,12.9,8.65,2021-06-01 09:15:00
627.9,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.6,11.941681095545412,7.0,11.15,7.15,2021-06-01 09:30:00
627.9,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.8,11.941681095545412,7.0,11.15,7.15,2021-06-01 09:45:00
494.29,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.1,11.879565646594276,7.0,10.25,6.95,2021-06-01 10:00:00
494.29,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.3,11.879565646594276,7.0,10.25,6.95,2021-06-01 10:15:00
160.2,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.3,11.342911358091625,7.0,9.25,7.85,2021-06-01 10:30:00
160.2,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.8,11.342911358091625,7.0,9.25,7.85,2021-06-01 10:45:00
367.17,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.0,11.781481963797368,7.0,9.25,6.8,2021-06-01 11:00:00
367.17,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.3,11.781481963797368,7.0,9.25,6.8,2021-06-01 11:15:00
335.89,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.2,11.747032221594118,7.0,8.95,6.65,2021-06-01 11:30:00
335.89,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.7,11.747032221594118,7.0,8.95,6.65,2021-06-01 11:45:00
323.39,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.8,11.731382589612291,7.0,9.1,6.8,2021-06-01 12:00:00
323.39,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.5,11.731382589612291,7.0,9.1,6.8,2021-06-01 12:15:00
340.23,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.0,11.751886001676448,7.0,9.25,6.9,2021-06-01 12:30:00
340.23,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.2,11.751886001676448,7.0,9.25,6.9,2021-06-01 12:45:00
342.29,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.8,11.754376215615448,7.0,9.45,7.05,2021-06-01 13:00:00
352.66,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.7,11.766184619543182,7.0,9.45,7.05,2021-06-01 13:15:00
369.28,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.5,11.783678756476684,7.0,9.55,7.0,2021-06-01 13:30:00
369.28,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.4,11.783678756476684,7.0,9.55,7.0,2021-06-01 13:45:00
198.02,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.6,11.482462095496718,7.0,9.65,8.6,2021-06-01 14:00:00
198.02,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.5,11.482462095496718,7.0,9.65,8.6,2021-06-01 14:15:00
407.87,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.5,11.819094883611013,7.0,9.5,6.8,2021-06-01 14:30:00
407.87,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.5,11.819094883611013,7.0,9.5,6.8,2021-06-01 14:45:00
402.99,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.6,11.814814814814815,7.0,9.75,7.05,2021-06-01 15:00:00
402.65,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.6,11.814637646496053,7.0,9.75,7.05,2021-06-01 15:15:00
402.65,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.9,11.814637646496053,7.0,9.35,6.75,2021-06-01 15:30:00
402.65,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.2,11.814637646496053,7.0,9.35,6.75,2021-06-01 15:45:00
382.4,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.8,11.796261447748085,7.0,9.35,6.75,2021-06-01 16:00:00
377.88,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.5,11.792163327415674,7.0,9.25,6.8,2021-06-01 16:15:00
362.65,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.7,11.776870389884087,7.0,9.05,6.65,2021-06-01 16:30:00
362.65,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.5,11.776870389884087,7.0,9.05,6.65,2021-06-01 16:45:00
362.65,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.6,11.776870389884087,7.0,9.05,6.65,2021-06-01 17:00:00
341.53,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.6,11.753584853125435,7.0,8.75,6.5,2021-06-01 17:15:00
316.96,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.6,11.722950819672134,7.0,8.6,6.5,2021-06-01 17:30:00
316.96,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.8,11.722950819672134,7.0,8.6,6.5,2021-06-01 17:45:00
324.31,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.2,11.732710825795156,7.0,8.65,6.55,2021-06-01 18:00:00
