date,total_rt,produce_load,operation,T_return(Simul),T_supply(Simul),T_return(Real),T_supply(Real),air_temp,buildings_rt,buildings_supply,buildings_return
2021-06-01 00:15:00,0.0,0,"[0, 0, 0, 0, 0, 0]",13.89,13.94,16.375,16.875,19.0,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","11.24, 12.58, 12.6, 12.49, 12.43, 12.3, 12.58, 12.91, 11.5, 12.31, 12.28, 12.31, 11.81, 12.25, 12.52","11.9, 13.57, 13.129999999999999, 13.22, 13.33, 12.9, 13.3, 13.6, 12.16, 13.23, 12.91, 13.09, 12.350000000000001, 13.04, 13.02"
2021-06-01 00:30:00,0.0,0,"[0, 0, 0, 0, 0, 0]",13.88,13.93,16.375,16.875,19.1,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","14.16, 15.19, 15.77, 15.29, 14.5, 13.95, 15.28, 15.09, 14.35, 15.67, 15.14, 15.03, 14.41, 14.06, 14.25","14.82, 15.98, 16.49, 16.0, 15.27, 14.879999999999999, 15.86, 15.67, 14.89, 16.65, 15.68, 15.889999999999999, 15.08, 14.690000000000001, 15.0"
2021-06-01 00:45:00,0.0,0,"[0, 0, 0, 0, 0, 0]",13.93,13.98,16.4125,16.925,19.2,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","15.36, 14.42, 15.31, 14.15, 14.64, 14.72, 14.94, 15.57, 14.36, 14.77, 15.0, 14.18, 14.01, 14.15, 14.36","16.009999999999998, 15.27, 15.83, 14.940000000000001, 15.5, 15.280000000000001, 15.469999999999999, 16.32, 14.889999999999999, 15.74, 15.73, 14.84, 14.959999999999999, 14.85, 15.08"
2021-06-01 01:00:00,0.0,0,"[0, 0, 0, 0, 0, 0]",13.96,14.01,16.4125,16.925,19.3,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","15.1, 14.48, 14.4, 15.08, 14.71, 14.13, 14.79, 14.61, 14.05, 15.42, 14.82, 14.49, 15.23, 15.77, 14.06","15.7, 15.18, 15.27, 15.71, 15.690000000000001, 15.09, 15.43, 15.549999999999999, 14.67, 15.94, 15.58, 15.13, 16.14, 16.45, 14.98"
2021-06-01 01:15:00,0.0,0,"[0, 0, 0, 0, 0, 0]",13.95,14.0,16.4875,17.0125,19.4,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","14.39, 15.39, 14.07, 14.18, 14.02, 15.55, 14.59, 14.81, 14.15, 15.52, 14.44, 15.11, 14.17, 14.7, 14.61","14.940000000000001, 16.12, 14.69, 14.87, 14.86, 16.32, 15.2, 15.55, 14.74, 16.259999999999998, 15.44, 15.67, 15.08, 15.41, 15.61"
2021-06-01 01:30:00,0.0,0,"[0, 0, 0, 0, 0, 0]",13.97,14.02,16.4875,17.0125,19.4,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","15.65, 15.91, 15.98, 14.5, 15.65, 15.51, 14.31, 14.34, 15.09, 14.48, 15.2, 14.38, 14.05, 15.69, 14.87","16.3, 16.9, 16.81, 15.19, 16.5, 16.41, 14.98, 15.18, 15.61, 15.290000000000001, 16.09, 15.16, 14.770000000000001, 16.27, 15.78"
2021-06-01 01:45:00,0.0,0,"[0, 0, 0, 0, 0, 0]",13.87,13.92,16.525,17.05,19.1,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","14.24, 15.74, 15.15, 15.86, 15.99, 14.33, 14.46, 15.57, 15.44, 15.22, 15.33, 15.71, 15.78, 15.83, 14.84","14.91, 16.59, 15.71, 16.68, 16.97, 15.33, 15.120000000000001, 16.52, 16.24, 15.84, 15.95, 16.7, 16.439999999999998, 16.61, 15.74"
2021-06-01 02:00:00,0.0,0,"[0, 0, 0, 0, 0, 0]",13.93,13.98,16.525,17.05,19.3,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","15.08, 14.71, 15.63, 15.18, 14.92, 14.54, 14.76, 13.94, 14.59, 15.23, 15.27, 15.14, 15.09, 14.06, 14.68","15.59, 15.32, 16.6, 16.02, 15.64, 15.34, 15.59, 14.889999999999999, 15.1, 16.01, 15.85, 15.91, 15.82, 14.76, 15.65"
2021-06-01 02:15:00,0.0,0,"[0, 0, 0, 0, 0, 0]",14.03,14.08,16.6125,17.1375,19.2,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","15.31, 14.74, 14.5, 15.19, 14.8, 15.65, 15.04, 14.49, 14.81, 15.1, 14.8, 15.61, 14.41, 14.75, 14.66","16.29, 15.33, 15.21, 16.03, 15.63, 16.5, 15.7, 15.42, 15.33, 15.98, 15.690000000000001, 16.43, 15.07, 15.56, 15.48"
2021-06-01 02:30:00,0.0,0,"[0, 0, 0, 0, 0, 0]",13.95,14.0,16.6125,17.1375,19.2,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","14.84, 15.35, 15.07, 14.24, 15.85, 14.33, 14.08, 14.79, 15.28, 15.92, 15.61, 14.23, 16.07, 15.43, 15.51","15.6, 16.24, 15.73, 15.02, 16.48, 15.2, 15.01, 15.36, 15.809999999999999, 16.74, 16.4, 14.780000000000001, 16.89, 16.2, 16.27"
