date,total_rt,produce_load,operation,T_return(Simul),T_supply(Simul),T_return(Real),T_supply(Real),air_temp,buildings_rt,buildings_supply,buildings_return
2021-06-01 00:15:00,0.0,0,"[0, 0, 0, 0, 0, 0]",14.02,14.07,16.375,16.875,19.0,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","12.11, 12.99, 12.19, 12.24, 12.33, 11.11, 12.05, 12.5, 11.8, 11.77, 11.41, 12.78, 11.81, 12.35, 11.12","12.77, 13.75, 13.149999999999999, 13.13, 12.870000000000001, 11.729999999999999, 12.57, 13.15, 12.370000000000001, 12.28, 12.23, 13.36, 12.31, 13.25, 11.7"
2021-06-01 00:30:00,0.0,0,"[0, 0, 0, 0, 0, 0]",13.93,13.98,16.375,16.875,19.1,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","14.24, 14.22, 15.19, 14.93, 14.59, 14.26, 14.53, 15.21, 16.03, 15.11, 15.03, 15.18, 15.5, 14.57, 15.86","14.97, 14.790000000000001, 15.95, 15.9, 15.379999999999999, 15.07, 15.1, 15.760000000000002, 17.02, 15.91, 15.82, 16.09, 16.41, 15.42, 16.58"
2021-06-01 00:45:00,0.0,0,"[0, 0, 0, 0, 0, 0]",13.96,14.01,16.4125,16.925,19.2,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","14.08, 14.96, 15.75, 14.35, 14.93, 14.54, 15.81, 14.08, 14.09, 14.22, 14.79, 14.81, 14.02, 14.8, 14.97","14.97, 15.74, 16.51, 15.03, 15.709999999999999, 15.5, 16.67, 14.63, 14.94, 15.07, 15.7, 15.41, 14.74, 15.700000000000001, 15.540000000000001"
2021-06-01 01:00:00,0.0,0,"[0, 0, 0, 0, 0, 0]",14.04,14.09,16.4125,16.925,19.3,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","15.14, 14.42, 15.55, 15.13, 14.15, 15.62, 15.86, 14.06, 15.17, 15.68, 15.18, 15.71, 15.39, 14.01, 15.32","16.1, 15.33, 16.52, 15.89, 14.73, 16.169999999999998, 16.419999999999998, 14.860000000000001, 16.11, 16.62, 15.69, 16.61, 15.93, 14.95, 16.3"
2021-06-01 01:15:00,0.0,0,"[0, 0, 0, 0, 0, 0]",14.14,14.19,16.4875,17.0125,19.4,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","16.06, 15.87, 15.67, 14.71, 15.58, 14.56, 14.28, 14.91, 14.28, 14.47, 14.4, 14.1, 15.18, 14.38, 15.28","16.79, 16.63, 16.2, 15.24, 16.22, 15.23, 14.959999999999999, 15.72, 15.12, 15.200000000000001, 14.96, 14.77, 15.76, 15.020000000000001, 16.09"
2021-06-01 01:30:00,0.0,0,"[0, 0, 0, 0, 0, 0]",14.02,14.07,16.4875,17.0125,19.4,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","14.37, 15.8, 14.5, 14.81, 15.93, 16.04, 14.75, 15.88, 14.5, 15.73, 14.49, 14.44, 15.32, 15.73, 15.92","15.03, 16.650000000000002, 15.26, 15.540000000000001, 16.73, 16.689999999999998, 15.58, 16.54, 15.1, 16.66, 14.99, 15.41, 15.96, 16.46, 16.72"
2021-06-01 01:45:00,0.0,0,"[0, 0, 0, 0, 0, 0]",14.0,14.05,16.525,17.05,19.1,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","14.89, 14.89, 14.54, 15.71, 15.07, 15.92, 15.24, 15.79, 15.28, 14.56, 15.66, 15.21, 14.57, 14.43, 15.31","15.520000000000001, 15.59, 15.399999999999999, 16.64, 15.59, 16.78, 16.15, 16.529999999999998, 15.83, 15.190000000000001, 16.22, 16.0, 15.27, 15.39, 16.23"
2021-06-01 02:00:00,0.0,0,"[0, 0, 0, 0, 0, 0]",13.95,14.0,16.525,17.05,19.3,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","14.91, 15.84, 15.84, 14.84, 14.9, 15.68, 15.28, 14.45, 15.58, 15.92, 15.95, 16.0, 14.26, 15.98, 14.52","15.43, 16.83, 16.65, 15.42, 15.55, 16.21, 16.02, 15.139999999999999, 16.54, 16.42, 16.91, 16.91, 14.879999999999999, 16.82, 15.43"
2021-06-01 02:15:00,0.0,0,"[0, 0, 0, 0, 0, 0]",13.98,14.03,16.6125,17.1375,19.2,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","14.77, 15.49, 15.12, 15.44, 15.21, 14.11, 14.36, 14.43, 15.65, 15.44, 15.85, 15.74, 14.96, 14.26, 14.53","15.7, 15.99, 15.739999999999998, 16.28, 16.12, 14.79, 14.979999999999999, 14.95, 16.16, 16.37, 16.82, 16.34, 15.82, 15.12, 15.43"
2021-06-01 02:30:00,0.0,0,"[0, 0, 0, 0, 0, 0]",13.99,14.04,16.6125,17.1375,19.2,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","14.84, 14.33, 14.97, 15.88, 15.97, 15.58, 15.23, 16.01, 15.34, 14.23, 15.36, 15.84, 15.74, 14.86, 14.43","15.75, 15.25, 15.65, 16.82, 16.5, 16.45, 16.150000000000002, 16.69, 16.23, 14.89, 15.86, 16.45, 16.32, 15.62, 15.26"
2021-06-01 02:45:00,0.0,0,"[0, 0, 0, 0, 0, 0]",13.96,14.01,16.6,17.1375,18.6,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","14.51, 15.24, 15.87, 15.13, 14.75, 15.95, 15.68, 14.58, 14.72, 14.67, 15.97, 14.99, 14.71, 15.47, 14.1","15.31, 16.080000000000002, 16.68, 15.680000000000001, 15.68, 16.68, 16.59, 15.36, 15.350000000000001, 15.27, 16.93, 15.94, 15.620000000000001, 16.46, 15.01"
2021-06-01 03:00:00,0.0,0,"[0, 0, 0, 0, 0, 0]",13.98,14.03,16.6,17.1375,18.0,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","15.33, 14.6, 15.28, 14.62, 14.92, 14.09, 14.36, 15.63, 14.69, 15.86, 14.02, 15.9, 15.77, 15.5, 14.11","15.96, 15.43, 15.95, 15.379999999999999, 15.91, 14.77, 15.129999999999999, 16.380000000000003, 15.66, 16.66, 14.57, 16.77, 16.36, 16.37, 14.719999999999999"
2021-06-01 03:15:00,0.0,0,"[0, 0, 0, 0, 0, 0]",13.96,14.01,16.6875,17.25,18.2,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","14.4, 15.26, 14.52, 15.55, 14.66, 15.27, 14.16, 14.68, 14.86, 15.47, 14.22, 15.96, 15.71, 15.3, 14.38","14.97, 16.19, 15.309999999999999, 16.470000000000002, 15.44, 15.959999999999999, 14.8, 15.19, 15.37, 16.45, 15.16, 16.810000000000002, 16.41, 15.940000000000001, 15.23"
2021-06-01 03:30:00,0.0,0,"[0, 0, 0, 0, 0, 0]",13.9,13.95,16.6875,17.25,18.5,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","14.29, 14.74, 15.82, 14.65, 14.47, 14.29, 14.23, 15.43, 14.42, 15.83, 14.23, 14.22, 14.36, 15.38, 14.29","15.25, 15.5, 16.78, 15.190000000000001, 15.120000000000001, 15.129999999999999, 15.22, 15.98, 15.129999999999999, 16.33, 14.89, 15.07, 15.19, 16.35, 14.989999999999998"
2021-06-01 03:45:00,0.0,0,"[0, 0, 0, 0, 0, 0]",13.89,13.94,16.6875,17.25,18.4,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","15.11, 14.3, 14.18, 14.03, 14.16, 14.28, 14.55, 14.99, 14.89, 14.45, 14.78, 14.32, 13.97, 15.75, 15.5","15.95, 14.89, 15.12, 14.989999999999998, 14.74, 15.2, 15.55, 15.67, 15.780000000000001, 15.379999999999999, 15.709999999999999, 15.15, 14.600000000000001, 16.75, 16.31"
2021-06-01 04:00:00,0.0,0,"[0, 0, 0, 0, 0, 0]",13.95,14.0,16.6875,17.25,18.2,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","15.07, 14.31, 14.36, 15.89, 15.08, 14.35, 14.13, 15.3, 14.74, 15.65, 14.51, 14.96, 14.59, 14.21, 14.61","15.98, 15.120000000000001, 15.03, 16.62, 15.66, 15.16, 14.63, 16.1, 15.280000000000001, 16.45, 15.2, 15.780000000000001, 15.36, 14.860000000000001, 15.51"
2021-06-01 04:15:00,0.0,0,"[0, 0, 0, 0, 0, 0]",14.0,14.05,16.7625,17.3875,18.0,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","15.64, 15.28, 15.52, 14.77, 14.33, 14.11, 14.12, 15.51, 14.5, 15.55, 15.26, 15.06, 14.86, 15.45, 15.03","16.61, 16.099999999999998, 16.08, 15.709999999999999, 14.92, 14.92, 14.899999999999999, 16.32, 15.06, 16.55, 15.8, 16.04, 15.69, 15.979999999999999, 15.84"
